Month Number,ConsolidatedCIFSC,total_net_assets,total_gross_sales,total_redemptions,normalized_value,Ticker,Close,CloseNormalized,PercentMonthlyChange
45,Balanced - Tactical,32021956490.0,367110750.0,349079230.0,1.2285176241901945,SWAN,23.888668060302734,1.1345991846712173,-0.0017513229769382174
46,Balanced - Tactical,32174733800.0,506435430.0,406691860.0,1.2343789030901884,SWAN,24.147708892822266,1.1469024037804325,0.010843669972123531
47,Balanced - Tactical,31415729870.0,404837440.0,1011336170.0,1.2052598295843016,SWAN,24.55955696105957,1.1664632466558447,0.017055368278011816
48,Balanced - Tactical,31435030150.0,349331220.0,338126460.0,1.206000281971688,SWAN,24.147708892822266,1.1469024037804325,-0.01676936065623296
50,Balanced - Tactical,31001290780.0,526893780.0,425901920.0,1.1893599351984807,SWAN,25.120378494262695,1.193099627249023,-0.010865946380895582
53,Balanced - Tactical,29482777620.0,262238710.0,299419040.0,1.131102402426949,SWAN,26.155208587646484,1.242249181224265,0.0164208506460041
54,Balanced - Tactical,29517773630.0,254713610.0,341693630.0,1.132445019174141,SWAN,26.457033157348633,1.2565844262799268,0.011539750053635776
55,Balanced - Tactical,30151154470.0,253598710.0,306812880.0,1.1567445814137995,SWAN,27.397092819213867,1.3012328312559671,0.035531560030725745
56,Balanced - Tactical,30321610200.0,239979710.0,323931330.0,1.1632840902821786,SWAN,28.027210235595703,1.3311604398220558,0.022999426272700293
57,Balanced - Tactical,29967591420.0,235089320.0,419706340.0,1.1497022121523983,SWAN,27.345300674438477,1.2987729483907444,-0.024330268886026105
58,Balanced - Tactical,29571475530.0,711085640.0,413640990.0,1.1345052846242896,SWAN,26.60890007019043,1.2637973891397176,-0.026929694904997366
59,Balanced - Tactical,31069730580.0,279481980.0,424194100.0,1.191985618002163,SWAN,28.275192260742188,1.3429384176831098,0.06262161104578995
60,Balanced - Tactical,31245312800.0,295140150.0,423783590.0,1.198721803901104,SWAN,28.33562660217285,1.3458087641729304,0.0021373627055605296
61,Balanced - Tactical,30582387640.0,412719530.0,448055290.0,1.173288778194713,SWAN,28.296585083007812,1.3439544759513702,-0.001377824450935038
62,Balanced - Tactical,35359815790.0,620141510.0,562467800.0,1.3565741025130509,SWAN,27.90297508239746,1.3252598553620762,-0.01391015910420638
64,Balanced - Tactical,37018561430.0,627270720.0,435182900.0,1.4202116336372037,SWAN,29.116411209106445,1.3828923544423606,0.04152868948565609
65,Balanced - Tactical,37652263860.0,592384300.0,382894290.0,1.444523533629644,SWAN,29.282649993896484,1.3907879135085834,0.005709453118935421
66,Balanced - Tactical,38775106810.0,735940160.0,375452000.0,1.487601237320344,SWAN,29.98255729675293,1.4240302128767086,0.023901774702847253
68,Balanced - Tactical,40527023900.0,710892160.0,373951510.0,1.5548132773422307,SWAN,31.382415771484375,1.4905168951846575,0.017887206923409567
69,Balanced - Tactical,39895755810.0,592282160.0,327055470.0,1.5305947704438136,SWAN,29.96430015563965,1.4231630846898518,-0.04518822343604589
70,Balanced - Tactical,41217311550.0,699312240.0,372238490.0,1.5812960609301312,SWAN,31.303478240966797,1.486767734388454,0.044692453298466196
